Minisector,LEC,VER,Fastest
0,307.6392123146667,307.079594935456,LEC
1,316.90594258285716,328.43862444021164,VER
2,303.3071726242226,317.96822894102445,VER
3,181.95886505489503,170.75599421530765,LEC
4,217.93992359009525,212.67726251970785,LEC
5,199.47740152900366,190.68492646737914,LEC
6,182.2984135526816,177.67163359668652,LEC
7,199.4610751687542,204.8780067475517,VER
8,253.7989551884146,256.4942005944615,VER
9,260.6596022044444,249.72892999274652,LEC
10,177.72626151798409,165.2775719933634,LEC
11,230.27694995063453,231.42016531967158,VER
12,124.37582062862599,126.95048189080025,VER
13,240.40527657235396,237.35565774687134,LEC
14,281.0375295639979,277.76767397483405,LEC
15,276.3986310215963,273.44949135376623,LEC
16,210.3025524514139,198.42317929266068,LEC
17,198.04163524777778,193.74310791542072,LEC
18,288.8936398217197,291.7912112258302,VER
19,319.08102714612227,322.9129464947734,VER
20,322.5955002453333,324.13197424454063,VER
21,302.28658953815784,300.9810842720981,LEC
22,281.2209515784242,245.83338975401097,LEC
23,123.08452240487091,122.85309876407104,LEC
24,248.40994210044713,251.3488531378207,VER
