Minisector,SAI,PER,Fastest
0,268.6526947984762,269.34379598814814,PER
1,290.82692717619045,288.3089663851583,SAI
2,295.5599577877458,291.03768579950616,SAI
3,128.91130173422678,126.91193873026306,SAI
4,194.74627166344683,201.47873875482992,PER
5,250.5345848362812,254.14621806577614,PER
6,134.2084094066588,138.30586547198627,PER
7,206.75926129987886,206.15322790851937,SAI
8,262.28294289457,259.8616650173243,SAI
9,281.50759261037035,279.9373109593277,SAI
10,231.8069170920635,223.87362651499132,SAI
11,175.0393727441002,181.27087804285472,PER
12,195.16263228407684,189.9633069202101,SAI
13,149.60033849884735,133.1781501093082,SAI
14,172.1422978238981,176.59159575228398,PER
15,159.35624592491163,162.7454427706478,PER
16,222.39364199385884,217.17755014836362,SAI
17,235.07832191673472,233.36184436148147,SAI
18,239.05995588045022,239.62845984907827,PER
19,241.04196596144754,230.26071840578888,SAI
20,147.37877425348614,146.83573378214123,SAI
21,128.3450478830307,138.42669142122122,PER
22,169.1403960115671,170.4900657171757,PER
23,150.23279605051454,150.04574721984554,SAI
24,226.8672013380899,230.76276079526087,PER
