Minisector,HAM,TSU,Fastest
0,278.70165003519134,275.7223897229659,HAM
1,297.99230106478325,295.268333312,HAM
2,294.27604732026714,291.81243750621115,HAM
3,186.72728923977766,180.50117688761904,HAM
4,119.81700245475825,118.49624290303089,HAM
5,236.18884538494623,235.3033756078241,HAM
6,285.4973260576535,279.26242082257977,HAM
7,296.5652776,290.26162214579716,HAM
8,181.90195095321263,185.89406502406197,TSU
9,142.27977935667357,140.16457551811666,HAM
10,248.88520228045977,247.06866782652125,HAM
11,288.5971199918777,287.2088146120387,HAM
12,298.5468993968254,295.29742869942856,HAM
13,277.96656506765027,277.51388890864195,HAM
14,297.667067454164,293.3192190118138,HAM
15,300.5436257206349,296.791170831746,HAM
16,252.6366508514666,255.24440532565038,TSU
17,225.55168322480617,221.7427174477771,HAM
18,280.59785111622693,273.60696636613756,HAM
19,302.4512155111111,294.74373153192363,HAM
20,303.53896512378157,295.5219424248971,HAM
21,235.7536632190476,236.4964632143716,TSU
22,261.82231701694866,253.4903980609936,HAM
23,142.11763170990167,140.00249766262746,HAM
24,211.86813885490196,207.75610319096975,HAM
25,258.5833386666667,256.29999999999995,HAM
