Minisector,RUS,OCO,Fastest
0,294.6940392514286,292.66851165201786,RUS
1,305.07986812517004,297.347984628254,RUS
2,154.46796312756683,159.0695110885255,OCO
3,224.61853637460317,217.8831601996001,RUS
4,276.6893236395568,273.90086025358346,RUS
5,302.1687733233333,302.0907418157568,RUS
6,312.20750016,309.0268604724411,RUS
7,165.5120160264285,188.18627891862286,OCO
8,128.6776364755748,118.87669399576643,RUS
9,251.88154819428573,244.3370338278095,RUS
10,286.30313506807016,288.2847761073731,OCO
11,291.7055695490909,300.1960936,OCO
12,136.248397626582,153.71324722243685,OCO
13,187.06701222902686,180.5979664802721,RUS
14,248.23417842205512,246.82027738620255,RUS
15,200.38855475776904,197.27771367150183,RUS
16,219.505587584,201.96743281440115,RUS
17,212.76541940868483,204.50453579237262,RUS
18,239.29303884425485,233.50681974545452,RUS
19,270.87749913680676,270.1546422215656,RUS
20,286.89032191087347,286.32559664481204,RUS
21,261.89500196977286,265.9887010962763,OCO
22,229.6971326105176,225.80690718826295,RUS
23,201.81026612596378,187.33905811664678,RUS
24,258.66156635789474,251.56630751235977,RUS
25,,272.01562400000006,OCO
