Minisector,NOR,OCO,Fastest
0,261.43471986571427,251.01984257015872,NOR
1,137.26716924461698,132.9040498714061,NOR
2,204.06504139174604,206.33884833928343,OCO
3,249.06726592101586,247.52053364786326,NOR
4,258.70380169329286,255.76672696829124,NOR
5,181.4441351695238,184.77507156885508,OCO
6,157.13789951301126,145.83740485090888,NOR
7,194.14020743472682,180.21309416114286,NOR
8,107.80194275138942,100.74692484418144,NOR
9,74.9008318690053,70.48602029981451,NOR
10,96.69577175041796,98.43840483188546,OCO
11,186.2637356379824,194.20653734159592,OCO
12,250.0115560391111,244.62389306096568,NOR
13,271.6505372685981,265.6521802261995,NOR
14,285.0679167827552,278.075556260202,NOR
15,109.44098527034922,105.95625358785877,NOR
16,155.42655464498037,165.32858383619046,OCO
17,188.09187277034025,185.38376221252526,NOR
18,208.20487481400562,204.7283238051128,NOR
19,223.6178671514074,217.42734348750744,NOR
20,146.20897148713817,137.44925013151195,NOR
21,111.5486588148157,116.15014777606099,OCO
22,105.10516563800404,98.15631765763611,NOR
23,204.79994988395123,198.40364847946128,NOR
24,258.2162166933333,248.64643632103895,NOR
25,266.8750034285714,263.0,NOR
