Minisector,PER,BOT,Fastest
0,311.07965694117644,306.61128752592595,PER
1,219.32751162546677,234.31219005507705,BOT
2,126.06331534359435,120.74817404087291,PER
3,209.99139155868892,213.6416505221989,BOT
4,262.50704590683983,260.7701439081237,PER
5,288.0509503013273,285.6662618340741,PER
6,303.8977309390481,295.17230408784314,PER
7,259.2798070222222,266.2417646079501,BOT
8,168.86092648034477,163.51025353260863,PER
9,242.7240735401777,237.2953489551297,PER
10,275.22895116140774,267.0828375111111,PER
11,259.4176806316544,252.259372193875,PER
12,205.32699655777776,199.24788830814813,PER
13,115.67332464644429,119.63467823813217,BOT
14,126.44772866109953,124.93710974275788,PER
15,165.84067188402116,143.89688628078432,PER
16,123.24985937101684,129.4510936087264,BOT
17,224.26444995873015,228.8267376446142,BOT
18,172.36903678033508,157.2323068060284,PER
19,165.79435940515836,169.26937524380952,BOT
20,243.9688028976441,245.33597455311894,BOT
21,275.95756842013606,269.77398485154066,PER
22,292.27668071849644,286.3759226886689,PER
23,302.22773446761903,296.48857908899663,PER
24,306.8649934659048,302.54679491282053,PER
25,309.43888924444445,,PER
