Minisector,HAM,VER,Fastest
0,301.6355775344821,313.5577490863079,VER
1,257.952850430279,255.28633198933335,HAM
2,203.4942081580194,198.15013656046753,HAM
3,269.39527286768856,263.0976601041115,HAM
4,234.22765346554934,234.48220952870497,VER
5,122.27322626939697,120.77449182904161,HAM
6,186.1317506497318,182.23881300208254,HAM
7,261.773497836351,256.41255673289226,HAM
8,292.15516898888916,284.5474304985713,HAM
9,304.05847492936545,297.8155676433048,HAM
10,309.4159798971263,300.6985484806829,HAM
11,231.7201893884114,232.31333097540556,VER
12,148.86884089316766,144.79990901851104,HAM
13,260.5629515234795,253.38409637481874,HAM
14,292.6658526671684,286.4720490433461,HAM
15,303.8573768670496,298.51361496962807,HAM
16,301.4398245726005,292.9768913285145,HAM
17,271.8103033280222,271.2678657043259,HAM
18,194.58404147367148,193.99849469911408,HAM
19,196.38725529399667,197.17226854985253,VER
20,190.26649674926836,184.29664568634038,HAM
21,255.85679088821158,249.9241637363717,HAM
22,131.44491525075134,132.8930433672453,VER
23,196.66006110110044,188.0305969865964,HAM
24,278.0728177682267,273.4906081128678,HAM
25,292.6916672,288.6910715428571,HAM
