Minisector,NOR,ZHO,Fastest
0,314.3867853420606,312.47390310520433,NOR
1,210.58576669968255,196.05563406560847,NOR
2,224.99840095980466,223.0385100214343,NOR
3,281.4485073308119,279.3513102701631,NOR
4,233.00168905295237,238.9224985474458,ZHO
5,125.15662691696895,126.6380814281197,ZHO
6,212.7635672916787,209.1173288817115,NOR
7,262.86725662211177,261.6077527433223,NOR
8,241.60489376822997,238.58470147415778,NOR
9,233.1451763774359,233.30992741217287,ZHO
10,275.1272847004444,272.4783134554497,NOR
11,289.30492269435064,288.10320100792006,NOR
12,305.68527874493503,301.4362424296251,NOR
13,320.4990459463678,313.59010757827207,NOR
14,325.35845962828284,312.97642896754206,NOR
15,263.2474169587302,253.2790064312576,NOR
16,245.99069930707165,241.16412482057905,NOR
17,285.6178272581818,281.889761796698,NOR
18,303.2691053258346,304.4456124357446,ZHO
19,158.44357745088433,153.50474969711286,NOR
20,206.96376901681023,203.23890426215053,NOR
21,179.62250190640324,185.96038462349208,ZHO
22,145.045471456994,137.28227229642692,NOR
23,243.85026004962614,234.67220458738768,NOR
24,296.2587392697744,291.670390243525,NOR
25,309.3048083692308,305.9437504,NOR
