Minisector,HAM,ALB,Fastest
0,274.26428537142857,276.18247177777187,ALB
1,289.3131316553989,292.92444436542564,ALB
2,295.06870330225564,297.37437043809524,ALB
3,135.33060567204262,132.76172758696032,HAM
4,212.3399166991004,205.34273749333335,HAM
5,259.3373020952381,261.2974209015873,ALB
6,154.0298524540558,151.82945180364447,HAM
7,218.16564113118943,206.10590395671724,HAM
8,263.2765344229012,260.5611110095238,HAM
9,281.3319077754386,281.8692981092732,ALB
10,251.7219587792175,250.08093130528138,HAM
11,188.09984170740572,193.58771314829931,ALB
12,211.8683319917136,191.06450757502395,HAM
13,152.34909780180178,162.0980887180375,ALB
14,192.6537521584918,171.2789382878138,HAM
15,181.5396805727999,174.16633075268817,HAM
16,229.6961375082413,204.49834584245903,HAM
17,247.69438174290173,245.49492786086958,HAM
18,251.4609688743764,236.1123082536095,HAM
19,244.18966520335033,270.12672022857146,ALB
20,152.0396108549894,151.15835654426107,HAM
21,135.5043630709339,165.48212557113996,ALB
22,186.26315665806973,145.94404724183656,HAM
23,163.5737347931016,160.48425003063699,HAM
24,233.39195472171625,202.92449550259315,HAM
25,259.6124992,253.2136355878788,HAM
