Minisector,ALO,SAI,Fastest
0,279.5680991675235,267.2402326192431,ALO
1,306.8614279720635,286.7000032644184,ALO
2,310.93750013333334,292.18786991531834,ALO
3,123.53863267160716,125.75517200592446,SAI
4,195.02163903011876,196.77855987119221,SAI
5,260.735418718406,254.53487149134045,ALO
6,133.78744964817832,137.0729362554697,SAI
7,203.74695122275955,200.0495929866322,ALO
8,257.8383104094746,257.3190844675078,ALO
9,278.25613423963904,280.1079824055884,SAI
10,226.4718779992263,230.70342541328915,SAI
11,178.26426657163427,171.4649236059424,ALO
12,188.87534670091634,187.4974803280432,ALO
13,141.67596157437924,139.39445037879875,ALO
14,170.76996161611348,170.07648355238095,ALO
15,156.10120282163635,152.57012517991294,ALO
16,216.43990770853864,213.6671848250776,ALO
17,229.17329609989392,229.05690878573145,ALO
18,236.59405101680022,229.51857183055134,ALO
19,239.8875771435865,240.47323204731947,SAI
20,138.1472146136099,140.1756292879685,SAI
21,133.17053735097528,132.99136591949255,ALO
22,167.00093135766815,163.90771534693744,ALO
23,142.26084384960777,143.67368928807133,SAI
24,227.966816222706,226.15101924953646,ALO
