Minisector,VER,BOT,Fastest
0,280.7126043615638,291.9668135193074,BOT
1,291.61678321678323,307.99184997399414,BOT
2,295.77252367575755,315.7797181124183,BOT
3,292.2677972050125,305.8855074116402,BOT
4,163.71980491190502,158.7099092050373,VER
5,199.46453687739103,196.65783638934775,VER
6,220.0264831663192,220.00938277073718,VER
7,258.3151546554071,259.10765975652174,BOT
8,243.69983588647955,233.23529009168524,VER
9,154.02419859000474,147.7679906379487,VER
10,217.73046449211694,212.13453769468717,VER
11,128.06225870946147,126.61576355593395,VER
12,228.43309584018144,219.4111093811717,VER
13,170.38565360511234,172.1499623073645,BOT
14,206.08154480601516,203.42065265896102,VER
15,224.99169437814936,213.94176966172017,VER
16,254.79309614351826,246.71983564807255,VER
17,280.765125772549,276.1557429961571,VER
18,140.56592095784535,151.5948848697344,BOT
19,161.22212289646868,155.1234818627417,VER
20,139.98255576389414,132.51002941297517,VER
21,149.05532816063905,149.85395948405966,BOT
22,108.55030472421406,104.62268006644935,VER
23,216.06336578636436,204.34491591019307,VER
24,262.6701913615111,258.84900449038963,VER
25,274.7053952222577,272.728124,VER
