Minisector,NOR,HUL,Fastest
0,297.57046151898345,302.70646268084056,HUL
1,222.39690479714938,210.02288482742858,NOR
2,232.36437700266666,232.14329946984626,NOR
3,276.70591447377365,277.6938724005037,HUL
4,253.31532172240267,241.95144930771525,NOR
5,131.061067129403,123.33525676541089,NOR
6,209.31151927488557,210.09091072096567,HUL
7,265.3383879205442,258.9314287114487,NOR
8,255.1129116147131,254.57787284728846,NOR
9,241.19114790464272,236.19571158603173,NOR
10,278.0179683213382,279.22951920728457,HUL
11,294.30936717381513,299.0533918236883,HUL
12,305.3375055158277,309.8495472422804,HUL
13,309.970916008283,313.5455101910204,HUL
14,310.02083352470584,313.20320299744105,HUL
15,271.03090911883544,252.94018758523,NOR
16,253.37153710309633,240.4529711471746,NOR
17,282.5122698710204,281.0640641186304,NOR
18,294.9576184693498,296.73506885854636,HUL
19,164.73799660025912,162.64560008626438,NOR
20,210.50666255782312,207.8418385802299,NOR
21,185.81345197876826,188.83982711087197,HUL
22,138.73608129127027,135.89704927619047,NOR
23,243.87064628520235,237.0549325767111,NOR
24,284.6832328488493,284.07092893669204,NOR
25,,299.1222215111111,HUL
