Minisector,SAI,HUL,Fastest
0,275.8292324088259,281.8252721158095,HUL
1,295.23889148380954,300.7035680419029,HUL
2,229.75098537295543,215.70532289422223,SAI
3,116.10175106958312,105.73209608699808,SAI
4,125.56720721277246,131.04126774923395,HUL
5,244.6491514788978,251.39186941090176,HUL
6,249.93880481427595,248.53604058959706,SAI
7,121.68428723299895,118.471903928694,SAI
8,240.803737156022,241.029371832071,HUL
9,243.32021259988872,235.8399899898828,SAI
10,206.66283735938245,188.54735377175632,SAI
11,139.06298085070162,135.46618777198955,SAI
12,195.27251927750893,203.3662205660215,HUL
13,258.3365314089546,262.6990747065628,HUL
14,111.56236991972858,110.69334207441948,SAI
15,179.78262769390474,187.4841485942038,HUL
16,254.29807916848685,254.85959196157347,HUL
17,285.11958104776744,288.49209453402597,HUL
18,298.9607372867725,303.7915123228497,HUL
19,305.7207878734123,312.3727548404344,HUL
20,309.2932484246914,316.4931954333835,HUL
21,157.89918587525514,148.80426056231477,SAI
22,157.91152358962287,142.58358771156597,SAI
23,192.44472645736303,181.55425280310905,SAI
24,233.07164491271976,229.54327919561328,SAI
25,,262.6500010666667,HUL
