Minisector,LEC,OCO,Fastest
0,267.61504096117216,259.68195693524035,LEC
1,244.04719215407408,239.2350978503401,LEC
2,153.02152207017716,157.81026285460922,OCO
3,250.8792870297724,243.65865832332221,LEC
4,275.51406235555555,268.2449999055238,LEC
5,187.3595461677699,189.52190518857142,OCO
6,118.61432986083497,121.61633075838485,OCO
7,166.68252191349603,152.01354164848485,LEC
8,261.621333248,252.6244994816,LEC
9,177.5336252778198,182.57785111578949,OCO
10,185.09797555809521,170.81420471516088,LEC
11,257.5287988585012,250.9052466962963,LEC
12,235.44360114285715,233.50218374913393,LEC
13,259.1809401279483,254.82964734358973,LEC
14,286.8655795478261,282.1437103801504,LEC
15,288.7651289564069,284.2824652888889,LEC
16,149.49856430477922,144.0570126007371,LEC
17,239.78323158284942,232.79654173272655,LEC
18,287.60308425281386,280.379835832824,LEC
19,300.2676136242424,295.39090909090913,LEC
20,305.60782942182584,298.61681738355674,LEC
21,312.4914681687075,299.45681818181816,LEC
22,156.28385385151492,172.17320761820784,OCO
23,91.31352181418684,91.1057389795165,LEC
24,173.4913577080787,158.45885130993506,LEC
25,245.73333333333335,238.7936512,LEC
