Minisector,LAW,COL,Fastest
0,292.5314880850069,287.7789115203475,LAW
1,299.3582954181818,294.07896817777777,LAW
2,236.21486784288405,232.13860944124033,LAW
3,117.1438915350671,115.1338544872947,LAW
4,135.72720712862935,136.79481324641742,COL
5,255.80172920329755,256.6874453445488,COL
6,252.23140068848485,248.76722517042407,LAW
7,126.38131101771118,131.05878706069583,COL
8,242.510597857094,246.26682573921119,COL
9,244.13285014186667,249.6055988839619,COL
10,204.11289828151226,201.3191622393387,LAW
11,142.46081147592827,144.3579660172813,COL
12,208.9197906793651,201.63826111975737,LAW
13,256.0443020488931,250.89991949726678,LAW
14,118.23748060837865,115.79296126432897,LAW
15,181.716158768153,186.4157414030251,COL
16,264.1950646866818,266.8744583258874,COL
17,308.24027864045445,307.79605950839004,LAW
18,322.2389611082251,322.2798163037857,COL
19,321.36838249411767,320.80864286545454,LAW
20,311.84878771435115,312.69981871310654,COL
21,169.66586179750917,178.82428591701512,COL
22,143.18945196133126,140.17628879126886,LAW
23,183.15605620666196,185.77220869113228,COL
24,247.9695896184127,236.4783780690041,LAW
25,,273.9916629333333,COL
