Minisector,VET,BOT,Fastest
0,279.480777340056,291.80781313333335,BOT
1,118.49873034185464,130.51143312294198,BOT
2,162.54367114757613,171.87114085925927,BOT
3,215.60170385454546,220.81946382888304,BOT
4,161.00097403504734,174.82963406295187,BOT
5,245.80597650526315,249.11798175438597,BOT
6,203.73623021449274,203.7348969777778,VET
7,136.07319604761904,148.60037230555932,BOT
8,235.43500016,242.2009915767196,BOT
9,279.98727688571427,279.60212787856415,VET
10,283.07352847058826,287.03950913333335,BOT
11,145.76060337618694,153.7699774083557,BOT
12,222.4405299016785,227.8162095902067,BOT
13,275.92708319999997,273.76127403921566,VET
14,271.50952380952384,280.57195038285715,BOT
15,100.86050989922958,107.48994881269842,BOT
16,220.49488055037315,224.07430049760777,BOT
17,274.5125701539077,270.7161452666667,VET
18,302.76666666666665,290.41838836265435,VET
19,316.32787115684584,300.3024960060261,VET
20,323.83166656,305.6482141714286,VET
21,297.44444444444446,294.10014725393205,VET
22,157.66979121292925,161.69329680922652,BOT
23,241.46224850125313,233.09763419316323,VET
24,285.89328861122357,276.6917798652159,VET
25,299.71249919999997,,VET
