Minisector,SAI,NOR,Fastest
0,269.80714370975056,271.92873250562195,NOR
1,233.63890205714287,251.46336912787092,NOR
2,114.71435326252565,117.99674196229964,NOR
3,174.7065206469622,171.49429654977786,SAI
4,191.11854165330857,196.97327890229278,NOR
5,189.96671236258206,196.98900477422276,NOR
6,262.8349246623626,264.4257268982857,NOR
7,285.22623161829586,286.1806043687619,NOR
8,227.97832876039848,224.97460080263954,SAI
9,147.31497463927042,143.52531568467106,SAI
10,113.82335475421937,112.15670925955258,SAI
11,150.42245927261837,155.78348334635868,NOR
12,242.9680479531629,244.70763084017767,NOR
13,153.64892314559867,147.24390446004995,SAI
14,142.75827085882014,143.8138028661587,NOR
15,108.01606065441321,105.66797262007049,SAI
16,225.31565438234162,219.02228557601202,SAI
17,226.50026572348293,227.1927185330529,NOR
18,125.22618836838993,124.74423534243553,SAI
19,241.86680804746453,238.2244776518595,SAI
20,277.2494411236774,276.18361633921177,SAI
21,198.87884624646463,203.94398546285714,NOR
22,140.2167011453086,141.1471954103936,NOR
23,210.48708354641272,212.19344551757578,NOR
24,227.23810942217145,226.07487625532252,SAI
25,254.5714304,,SAI
