Minisector,RIC,NOR,Fastest
0,250.4371454697299,254.7714910054136,NOR
1,278.90870206258506,281.98999984,NOR
2,160.38526574163728,162.56129088027973,NOR
3,162.5754941470231,172.96162038112027,NOR
4,257.4213544888889,262.0467260626474,NOR
5,263.05132495930735,269.6742700051948,NOR
6,214.42109733474427,221.55049703870034,NOR
7,196.22455992510203,199.09310377931035,NOR
8,154.61197094280092,160.02421219394708,NOR
9,220.85216946128037,229.45152966203526,NOR
10,274.36845277460316,277.16626930793655,NOR
11,126.24345619084444,125.65583595236039,RIC
12,214.72645099024612,226.99607461279876,NOR
13,269.9748382337662,274.66567385396826,NOR
14,290.31187170567455,289.60874976,RIC
15,297.9092040471151,295.1575396063492,RIC
16,215.66108676163878,207.1883977142857,RIC
17,134.76179448897818,138.51918638139534,NOR
18,135.5713109928383,142.7334372861175,NOR
19,121.38480430087463,124.03016500379243,NOR
20,221.48664667637877,231.99081496842692,NOR
21,244.59647108373125,260.99375645655664,NOR
22,224.06250153846153,229.11513721552717,NOR
23,208.09758854275492,211.2776499500779,NOR
24,146.69923522539682,145.1320463068382,RIC
