Minisector,BOT,ALO,Fastest
0,278.1141767508633,277.6751625904762,BOT
1,293.43937493333334,293.04067464126985,BOT
2,247.6866867204708,241.11984024126983,BOT
3,115.97829126872082,112.62886405286187,BOT
4,128.07219217939885,133.6628560535243,ALO
5,248.41540280071038,250.23626784733978,ALO
6,250.04236088888888,245.861000064,BOT
7,122.97067829613806,125.0965627695732,ALO
8,248.54288204444444,248.45076728518052,BOT
9,263.5655176005106,264.4613815134199,ALO
10,208.62912524926108,209.67978382222222,ALO
11,140.4225961065673,142.7932268902027,ALO
12,205.79258635750887,212.23692719455784,ALO
13,260.95543789437227,262.08937943720133,ALO
14,121.6551561169903,116.06853695626822,BOT
15,195.64373226899718,194.20436580063492,BOT
16,260.69810637575756,257.99346038168494,BOT
17,293.25547784098785,285.9793156495238,BOT
18,306.970888134872,299.67969934436087,BOT
19,312.9578947368421,303.1886203524232,BOT
20,315.11535090526314,304.91833333333335,BOT
21,169.48982767058826,163.6814165502503,BOT
22,139.06765364346305,148.81486265649653,ALO
23,205.81456431255253,199.10349446881722,BOT
24,236.16400017066667,235.92236685776547,BOT
25,264.7499968,265.2625024,ALO
