Minisector,RUS,SAI,Fastest
0,269.49816686842905,268.49268168048485,RUS
1,244.1731492739469,241.84990313797545,RUS
2,117.03559219883968,118.8664566713468,SAI
3,171.22656779064582,172.74534666558924,SAI
4,193.65928958754736,185.06956520417555,RUS
5,197.38810891567107,203.2720763205861,SAI
6,262.43303549002076,263.85183017311897,SAI
7,285.20902803137255,285.3301882706767,SAI
8,228.59965683039593,244.2019221483506,SAI
9,145.59692896279356,147.8163249593525,SAI
10,117.14214329231511,115.25396397967927,RUS
11,151.54281270422595,150.9605225150718,RUS
12,243.41220747881297,238.61991899999998,RUS
13,145.08316159374155,157.2781823664138,SAI
14,147.99425984154027,144.0085082240422,RUS
15,105.6482126831669,115.89139573561955,SAI
16,224.55167962993247,205.36199241345403,RUS
17,230.35223175455556,244.52644771475215,SAI
18,115.60222650834064,124.34294679791653,SAI
19,240.12337067528054,233.57569526875304,RUS
20,272.570108630303,271.1182758104308,RUS
21,204.89561450132132,210.31519992602344,SAI
22,150.64494665606125,146.73326450424477,RUS
23,215.16302751291735,215.49998331665225,SAI
24,227.84309497087276,219.05890467502013,RUS
25,,254.30807213333333,SAI
