Minisector,VET,ALO,Fastest
0,279.6706956934336,273.1720196176532,VET
1,247.77306091376224,233.65776018919178,VET
2,115.52830572031478,119.85505748460132,ALO
3,188.71971629386198,190.7453597838497,ALO
4,184.45662260929674,185.2807028687442,ALO
5,211.87487998250157,216.03143283977792,ALO
6,278.0395533826194,271.4082646437665,VET
7,295.6133606781784,286.78609023580026,VET
8,197.1575423892449,189.4810245950227,VET
9,130.65167576431094,135.1773368077034,ALO
10,129.33973967400476,138.52384680235707,ALO
11,188.46699422567565,190.68766228916616,ALO
12,228.995156725092,228.72467278739305,VET
13,132.6959165199423,138.28532375812404,ALO
14,161.21646555894876,161.56130321905488,ALO
15,118.96343303743292,123.5100683830572,ALO
16,254.3361703889091,250.48835715258022,VET
17,151.72317308959452,149.5079763192505,VET
18,196.1445417362642,195.41350143459172,VET
19,137.5323671854081,142.72591313721566,ALO
20,155.11659345973533,150.23877305323123,VET
21,124.80216050606974,130.29665477169277,ALO
22,139.5253438034067,145.3983766051073,ALO
23,217.31602605128208,223.18632912677057,ALO
24,233.01373781560562,237.86092228009002,ALO
25,264.2166656,,VET
