Minisector,LEC,GAS,Fastest
0,281.37376995473545,281.98869622648067,GAS
1,297.04058460383453,297.30986540691174,GAS
2,240.6951763883248,249.41648003642857,GAS
3,119.20917846006479,123.02891679310785,GAS
4,145.6530679963251,144.5177100188381,LEC
5,255.773191670351,252.03720632381706,LEC
6,258.0596707438779,257.6654787387153,LEC
7,129.291495097826,131.1683265640387,GAS
8,252.24448288306294,249.48371190472642,LEC
9,266.09307051178615,268.37264491594203,GAS
10,214.92900187995198,217.95730453346258,GAS
11,152.9692751390199,150.00540772659593,LEC
12,219.02708770251138,213.70482251428083,LEC
13,266.88220908782756,264.487733183515,LEC
14,118.02971168622072,121.03261696967617,GAS
15,202.53476366945776,207.3624966643908,GAS
16,261.7595844026045,261.50331887099776,LEC
17,288.1712460331729,288.2272124114949,GAS
18,297.4007942164122,297.4367622259628,GAS
19,301.6849206857143,299.8,LEC
20,304.5217105403509,300.52552547472783,LEC
21,156.61203790112785,177.15164299992622,GAS
22,158.02464938128415,145.97116328274836,LEC
23,194.67135450399707,203.19534836208052,GAS
24,241.80340343398007,225.92451122045907,LEC
25,,262.2604186666667,GAS
