Minisector,HAM,VER,Fastest
0,304.1606330743936,298.85274971225397,HAM
1,146.28869769605777,135.20487962178925,HAM
2,212.72294173175612,212.79285822315947,VER
3,276.9847508384416,279.8266848183878,VER
4,313.5411788098927,319.9129483579494,VER
5,323.8099100612615,315.87517436121215,HAM
6,148.67236482190708,145.60912568262364,HAM
7,247.2873942708265,240.87030987701425,HAM
8,126.93754926055152,111.91460201510101,HAM
9,143.84973257448067,156.34100148218278,VER
10,268.03624781103423,274.62601324444444,VER
11,297.7002742209524,298.86432659260504,VER
12,253.49164271827235,249.3959813594558,HAM
13,153.2459350904423,154.7816658445501,VER
14,266.944806070876,273.14266411566126,VER
15,305.9411815478324,308.9955939361616,VER
16,322.60017941243757,323.5239882885512,VER
17,332.25564924081635,335.3790944309179,VER
18,337.35459380000003,344.34541682285715,VER
19,336.7910739117255,349.0418814694761,VER
20,226.62892702164814,216.11234820658504,HAM
21,151.03955060381142,152.23494905223617,VER
22,272.61443117180323,277.5590496802308,VER
23,309.85940537627704,312.7926672457143,VER
24,324.7323351089324,326.012376591082,VER
25,321.4124992,,HAM
