Minisector,PER,NOR,Fastest
0,273.88908683174606,278.3820327958453,NOR
1,302.1081444453648,301.28946051764706,PER
2,323.183088,313.6059522330532,PER
3,335.8351560666667,321.62426453333336,PER
4,341.26027775999995,325.77199934365484,PER
5,341.34294598052554,327.7318627137255,PER
6,227.9465304888889,205.8981549467449,PER
7,107.80427886562995,106.37275936481414,PER
8,175.7975181088025,187.50397277906254,NOR
9,263.156645909387,264.7958328090703,NOR
10,297.83148124444443,294.6775058911673,PER
11,184.29012352086772,156.9703389968254,PER
12,99.22143657824846,100.11518518657613,NOR
13,115.82939076063491,115.64198731736658,PER
14,223.5447876184393,222.18422587936507,PER
15,188.8117555809524,188.66109564242643,PER
16,231.0904535303316,224.13566467301587,PER
17,180.39132946793652,183.11158358223355,NOR
18,237.45274217144444,243.6168644063492,NOR
19,276.66966772899997,283.25460502456144,NOR
20,253.64356242424245,240.62033501502202,PER
21,153.84864342552382,141.84204313182957,PER
22,97.71943521274889,95.53257734285454,PER
23,127.9215712907983,126.88405345052846,PER
24,225.36659674868662,233.8649615030303,NOR
25,254.58333333333331,,PER
