Minisector,LEC,HAR,Fastest
0,302.6308503715547,281.9559041333333,LEC
1,160.2536069379791,155.86683769076245,LEC
2,160.97845853316144,154.91366917223166,LEC
3,203.42355735187573,219.44726786206897,HAR
4,278.438224742029,281.2111382392725,HAR
5,293.28996174545455,291.7507579636363,LEC
6,149.879896421475,146.51638864216474,LEC
7,140.62839117976864,135.92263868981803,LEC
8,165.41555237508416,144.63446562397706,LEC
9,154.17114345381364,173.15706040825492,HAR
10,138.05603514266005,131.14870796489865,LEC
11,130.87201026842172,121.90562815422652,LEC
12,144.75179006354918,160.11694542517344,HAR
13,254.99428399037888,260.6217137127619,HAR
14,282.35208346666667,283.33220917073044,HAR
15,153.80060898861788,147.9741699690626,LEC
16,205.43406264778557,203.44294448172045,LEC
17,156.17956662315024,158.4584278350219,HAR
18,256.86111952457145,263.50308923607804,HAR
19,282.03796005541125,285.9242423272727,HAR
20,291.9430399030303,297.3054350856403,HAR
21,301.62784096969693,303.62257890681246,HAR
22,306.8799603301587,308.10204080181404,HAR
23,310.62083333333334,311.9900703412054,HAR
24,308.23920450909094,308.6255681939394,HAR
25,307.0,,LEC
