Minisector,LEC,RUS,Fastest
0,251.23650705069554,253.81531598006566,RUS
1,218.55986115156355,214.63586353926655,LEC
2,200.32844894779387,207.01762549341964,RUS
3,254.74079664789215,255.58793473855073,RUS
4,270.0268494099248,268.9101728272965,LEC
5,287.392240806076,289.3031996160983,RUS
6,166.18167863936438,165.78263639505775,LEC
7,177.49726626551566,180.68044172731183,RUS
8,266.57309046492753,266.15642923952737,LEC
9,291.43592140432423,292.8444190961039,RUS
10,303.66729703672723,303.1345416426667,LEC
11,306.7611996790476,306.1674474493506,LEC
12,117.03832392479363,115.6155896380434,LEC
13,195.64355649182863,185.3927428708046,LEC
14,267.78914340685714,269.49773804761907,RUS
15,293.0374883886384,294.90656242666665,RUS
16,295.73017863999996,302.7809098664076,RUS
17,187.8628828251009,190.46098069954544,RUS
18,216.1734123911111,214.5489921129113,LEC
19,263.77547509174724,269.04739293852816,RUS
20,153.65768823473923,153.2333414219677,LEC
21,145.3935858927992,140.53344686999358,LEC
22,219.6610345181527,210.66177804190477,LEC
23,229.73260993523812,239.44235064275065,RUS
24,157.77687776278873,156.7986261911546,LEC
25,224.4249984,226.62953098526467,RUS
