Minisector,PER,GIO,Fastest
0,261.46597202962965,263.4879569837535,GIO
1,134.16935360000002,131.95245142959624,PER
2,195.45545875287166,195.92708106666666,GIO
3,243.84188928158224,246.06405687961717,GIO
4,261.4979365079365,261.3450532666667,PER
5,191.53226687012204,180.27174066086954,PER
6,148.92074796190474,141.77528555069603,PER
7,186.02651515151516,180.35181141863356,PER
8,105.30040207337025,101.86109977811014,PER
9,79.52001840756306,77.86947747604732,PER
10,96.28343097919326,94.26507888253968,PER
11,178.02735494492754,178.16462817091823,GIO
12,243.65882352941176,246.6794106352941,GIO
13,266.89887409771484,269.3561103644444,GIO
14,280.4488888888889,277.39250295551403,PER
15,120.83138022769175,118.24093424313726,PER
16,137.6288386920897,136.2818606830108,PER
17,198.5515873015873,194.764485384127,PER
18,193.55956978787557,191.98174466031747,PER
19,226.3842105263158,217.27748277568242,PER
20,134.16032758634162,135.7609378,GIO
21,122.93064591325054,119.21224848269888,PER
22,88.69168099656389,91.18835919270728,GIO
23,187.46507936507936,196.66547398095238,GIO
24,243.48926505418635,248.96722112,GIO
25,,263.7499968,GIO
