Minisector,VER,NOR,Fastest
0,278.07342382423815,274.91598373243573,VER
1,293.40517076047706,294.9716666168889,NOR
2,288.50716644977774,290.76472569680635,NOR
3,185.2457295858079,178.9191936856812,VER
4,128.48371273105846,122.57816341520731,VER
5,241.83968613604995,239.36910918479836,VER
6,284.1154711586092,279.8013791052242,VER
7,287.7578516923077,285.3815707897436,VER
8,169.2818773561483,177.76107623076686,NOR
9,144.8044052565779,139.67589999597166,VER
10,253.2952613095546,251.36048236432265,VER
11,284.771000192,286.1133330773333,NOR
12,294.6134999893333,293.5446012027665,VER
13,288.019283606613,286.9310896410256,VER
14,299.8918404444444,301.7120162539117,NOR
15,298.58802062222225,303.9302538136646,NOR
16,258.8636277280788,255.27008130427464,VER
17,234.4218825496774,226.9907197520235,VER
18,285.2332537333333,281.2621855279656,VER
19,303.2615942956522,300.9228331946667,VER
20,300.6478330026667,300.2036506456328,VER
21,232.83640919040232,228.53716619373978,VER
22,260.50854631292515,252.66747193954967,VER
23,142.76350124965356,134.9198953370367,VER
24,217.02543983857603,214.14495667797487,VER
