Minisector,ANT,PIA,Fastest
0,320.17039247686273,314.2054420209606,ANT
1,323.9419358127242,309.64751586871796,ANT
2,161.66640293208158,158.78583606330395,ANT
3,159.3477954855914,159.7258047218449,PIA
4,194.22609011343448,203.6902899178939,PIA
5,149.63467008977483,157.70311338666457,PIA
6,206.2544232442081,207.7686941060565,PIA
7,272.2895687169925,272.96044768778876,PIA
8,289.70368407578945,291.279183984644,PIA
9,278.7137072643386,282.87042234040405,PIA
10,237.6182143674459,244.9669755523365,PIA
11,247.2904793457733,248.02639557099488,PIA
12,225.8861210427211,220.41705856838092,ANT
13,185.74964730166656,182.35232095341993,ANT
14,138.70634719798144,133.96218677362336,ANT
15,133.41608617363485,134.77467405987724,PIA
16,197.29916379171726,198.34731058035476,PIA
17,269.4371289502786,271.4032569402645,PIA
18,198.93589049263156,219.03303109876387,PIA
19,110.09296360173407,112.34782908624443,PIA
20,206.67161573714284,205.30591283462377,ANT
21,183.42452413714287,187.91669047634016,PIA
22,245.73947459368424,241.9606006212196,ANT
23,278.96621904792937,280.5715859805519,PIA
24,310.16656978225956,305.762302687492,ANT
25,323.76500096,316.0,ANT
