Minisector,PIA,SAI,Fastest
0,270.19363391252205,268.6526947984762,PIA
1,289.07093603990927,290.82692717619045,SAI
2,287.5798933665408,295.5599577877458,SAI
3,125.73819060977404,128.91130173422678,SAI
4,195.75220567809524,194.74627166344683,PIA
5,244.89065880987772,245.233316589648,SAI
6,134.92659957370023,131.1327654848065,PIA
7,206.36040463492063,206.75926129987886,SAI
8,258.141256905732,262.28294289457,SAI
9,277.39726690285715,281.50759261037035,SAI
10,230.39734885431636,231.8069170920635,SAI
11,169.51743257150858,175.0393727441002,SAI
12,194.95821364033014,198.44414252024407,SAI
13,139.9134939770538,144.55187416544416,SAI
14,176.69847123249167,172.1422978238981,PIA
15,164.46411769412893,159.35624592491163,PIA
16,224.80748214744688,222.39364199385884,PIA
17,232.3546792807321,234.07476182961042,SAI
18,238.98258360571427,240.43153250573707,SAI
19,227.06404070615372,236.03975722663452,SAI
20,145.93757553201536,149.12895285920044,SAI
21,129.37055807468678,125.92945280169097,PIA
22,164.89383262375918,170.99131869785936,SAI
23,150.3204252822934,152.77867735375045,SAI
24,227.67103071935497,229.9225806219896,SAI
25,257.97499999999997,,PIA
