Minisector,VET,LEC,Fastest
0,275.1530145527869,276.26880063635303,LEC
1,293.12090204105556,295.21686850030454,LEC
2,301.05315035967084,299.4149382595351,VET
3,134.95808639117212,123.18275452164656,VET
4,199.45684570583168,200.40714648398918,LEC
5,263.3167495444524,259.87790198986494,VET
6,140.3650821326258,139.056372207406,VET
7,210.79891108123613,208.72817060703466,VET
8,265.02055320820705,261.9954518207464,VET
9,286.9517879408678,284.09958335636543,VET
10,249.10340754861824,241.07137060474219,VET
11,183.77923701066362,178.92758966075857,VET
12,194.03290036946822,194.99676032845923,LEC
13,146.7778198904444,145.13977970135278,VET
14,175.16377011404708,177.51090074354735,LEC
15,164.36238193228792,162.10995599693925,VET
16,218.89964019820982,220.54061993312177,LEC
17,237.97149450450289,235.93268702058282,VET
18,242.16769643510318,244.8335460808123,LEC
19,251.52994562238297,239.51776410598228,VET
20,145.27391203439547,148.0842272870666,LEC
21,137.9783427604512,131.18515311790154,VET
22,170.95686900045732,172.91494894351618,LEC
23,151.99707970161126,149.41179676380338,VET
24,235.5700788462725,234.26003353532292,VET
