Minisector,ALB,PER,Fastest
0,276.18247177777187,286.40515393729436,PER
1,293.1433332584734,310.9216185682967,PER
2,292.7834338285714,309.247496806015,PER
3,127.12613936225203,123.54613092958976,ALB
4,210.95503602051284,210.86648153553114,ALB
5,256.7246216242424,255.68793678215778,ALB
6,147.81626967637158,140.44054515653235,ALB
7,219.7635408,214.2660456387813,ALB
8,266.1055554031746,262.0371023746032,ALB
9,282.62543862857143,279.7144872686188,ALB
10,244.59380999619046,231.39064631654267,ALB
11,179.6420043784127,168.7948069866762,ALB
12,207.34873087383443,212.03863276956452,PER
13,144.86030739649124,133.95470054965185,ALB
14,185.50104923180095,183.2470041904762,ALB
15,173.42693604236487,170.4987145962337,ALB
16,226.82430647890575,238.21249910724637,PER
17,238.49231395776397,229.12430525139118,ALB
18,245.93613618721517,252.7943173090909,PER
19,233.52066151111111,179.87446644140363,ALB
20,152.29081397767243,169.74760523037304,PER
21,135.76382371837494,125.04072477072253,ALB
22,182.98762036457967,176.09456800996327,ALB
23,156.8635844455756,170.3814531774508,PER
24,237.24289340874776,245.16943345130917,PER
