Minisector,OCO,SAI,Fastest
0,251.01984257015872,266.85624148002086,SAI
1,132.9040498714061,135.96765473458822,SAI
2,206.33884833928343,202.33989017415894,OCO
3,247.52053364786326,245.3178914185695,OCO
4,255.76672696829124,260.56562572444443,SAI
5,184.77507156885508,180.97335966791533,OCO
6,145.83740485090888,154.50057629289034,SAI
7,180.21309416114286,190.73594366339256,SAI
8,100.74692484418144,104.45248532308207,SAI
9,70.7547977016698,69.27897862754507,OCO
10,98.80160496247696,99.93569479040603,SAI
11,194.20653734159592,194.5683033554367,SAI
12,246.41703039001985,248.1537915038239,SAI
13,266.8182967180961,269.46553631238095,SAI
14,278.075556260202,279.2922984565657,SAI
15,105.95625358785877,108.80201608845016,SAI
16,167.98782666935574,164.10594898638632,OCO
17,184.1860503178836,186.7629855043474,SAI
18,205.73677588641164,211.75092239848817,SAI
19,213.39428081030815,212.2325080754401,OCO
20,138.32540746484528,142.30796102811652,SAI
21,110.0503228480574,107.43101338308632,OCO
22,101.1084078233997,109.1179952875608,SAI
23,198.40364847946128,205.3870420010372,SAI
24,248.64643632103895,252.00620200542568,SAI
25,263.0,,OCO
