Minisector,ANT,HAD,Fastest
0,273.63157894736844,276.3257936507936,HAD
1,125.15070808820809,118.09218004218005,ANT
2,163.55902871075284,157.60149572649573,ANT
3,206.5597866419295,203.7730303030303,ANT
4,174.28955314009661,166.2355,ANT
5,238.5459001782531,239.28645181978516,HAD
6,208.619099378882,200.77871658093113,ANT
7,138.20876176510467,136.6385090702948,ANT
8,248.21969507101088,243.16301423266793,ANT
9,285.17712053571427,283.79749999999996,ANT
10,282.8267448849713,278.949452508276,ANT
11,157.96724644403216,153.09775736562108,ANT
12,225.86421141134002,232.74031104306223,HAD
13,279.1001400560224,277.3809481152305,ANT
14,258.32450980392156,233.77230576441104,ANT
15,104.61468896156924,103.78582761613197,ANT
16,236.26248487102194,236.74085883786606,HAD
17,295.91898577612864,290.46345512777776,ANT
18,313.7619658119658,313.9901455026455,HAD
19,322.8232353338562,320.2117346938776,ANT
20,325.64930555555554,313.2382942372695,ANT
21,297.09236633249793,275.9136607142857,ANT
22,159.61681983427872,160.23549598852878,HAD
23,244.00773809523812,245.74876318422835,HAD
24,283.2798941798942,282.4548363095238,ANT
