Minisector,GAS,HAM,Fastest
0,316.2754774,323.8878786181818,HAM
1,319.0162526144927,331.33901586475565,HAM
2,312.6970645212121,327.95221870822513,HAM
3,202.94859422253737,192.5611337972272,GAS
4,125.56308713469704,127.21718003053071,HAM
5,264.90385750123454,266.365023374359,HAM
6,295.48208563352796,301.86765845079367,HAM
7,301.82638888888886,316.330615884058,HAM
8,272.35181667179717,273.46653585608465,HAM
9,151.62257900642666,152.79875735652175,HAM
10,225.60143267619048,228.62830765333334,HAM
11,222.79787962534925,224.75278975238095,HAM
12,203.11955362285713,203.69175905531594,HAM
13,268.1103830857143,270.69643522801704,HAM
14,299.03886386031746,307.558001886673,HAM
15,307.64692030144926,320.94488635151515,HAM
16,263.34347481904763,270.6489690052579,HAM
17,214.26050455919193,214.41894786955268,HAM
18,272.7187952996337,275.22625005599957,HAM
19,301.7524998217143,309.1697914222222,HAM
20,307.36990406321655,322.14774944322835,HAM
21,297.4711809269841,303.1882701206349,HAM
22,219.46190107689992,215.39860047050607,GAS
23,265.5975304296296,268.25145449876544,HAM
24,299.43076287199267,306.6117557142857,HAM
