Minisector,BOT,KVY,Fastest
0,239.52661577339651,235.29514422248624,BOT
1,287.83600025600003,286.9093196432283,BOT
2,301.7123803990128,305.88307895608204,KVY
3,308.3988095873016,312.0838767768116,KVY
4,268.43966218271606,253.1004514506751,BOT
5,171.27843346544108,165.5098663655606,BOT
6,265.50703519604207,265.8729280902998,KVY
7,285.3316667733333,282.9225308839506,BOT
8,212.89570859807733,201.87418370683451,BOT
9,226.1726106375888,220.5123688302725,BOT
10,180.21771363503896,171.53749925079364,BOT
11,232.17059532456435,228.37437087591965,BOT
12,209.41034990726155,197.0410239680622,BOT
13,211.3936820449227,208.43307768163265,BOT
14,228.26101786845624,224.07410331069568,BOT
15,177.53768008661484,167.5549689637166,BOT
16,250.2551804866429,255.81436866206897,KVY
17,290.8311236113463,303.6618533432712,KVY
18,304.97595332628686,323.1865943188406,KVY
19,288.781343704486,297.3931699111111,KVY
20,128.78960785317173,123.10360329826189,BOT
21,155.2490141539271,148.40440997208114,BOT
22,158.83325162638766,154.64397363646614,BOT
23,202.1050936152628,197.3919870998938,BOT
24,149.30240330989272,140.77901058067556,BOT
25,192.50000213333334,,BOT
