Minisector,RIC,ALO,Fastest
0,302.6686364992577,283.98519198154884,RIC
1,320.1134938146058,295.4755280166233,RIC
2,329.7572157997733,299.5453636213103,RIC
3,322.0835189572623,299.8506365464346,RIC
4,175.45504671930433,182.3311026085714,ALO
5,220.0443367585188,211.6905955367954,RIC
6,250.58002109133344,239.2387182165632,RIC
7,267.0046328124728,263.94399276110136,RIC
8,271.2078949614035,271.70807178601495,ALO
9,175.91291297910124,161.4667552526091,RIC
10,231.5143546158168,227.14271697706465,RIC
11,145.10577111385237,142.46625597818672,RIC
12,221.38787618179856,220.6820555657749,RIC
13,208.1258612732827,207.79803861211008,RIC
14,212.99113378542094,205.83293280949874,RIC
15,252.67479157333332,251.0111672630213,RIC
16,262.68699929541015,258.28155433828016,RIC
17,282.2705697857399,279.2184835190514,RIC
18,146.98252467609,158.19603952284848,ALO
19,160.62589126869406,152.35741477233373,RIC
20,152.3419120371141,140.91368026235637,RIC
21,175.05137196400142,167.9943893591398,RIC
22,124.4786650665314,119.51460174325481,RIC
23,224.04416336746428,215.4775512364495,RIC
24,267.2477964434484,264.101057731646,RIC
25,,278.0499989333333,ALO
