Minisector,VER,HUL,Fastest
0,276.411362108993,277.2879976612199,HUL
1,292.0867869777492,295.79495222383616,HUL
2,289.07419158919026,287.46277803495536,VER
3,180.55895952739203,173.58018159245685,VER
4,134.22432221087053,132.22859807612173,VER
5,243.46106943649596,246.74445332076976,HUL
6,283.93614871147633,292.15694028013513,HUL
7,288.560725859125,292.0070358683039,HUL
8,176.78448245912585,168.5032549971629,VER
9,146.68220427366592,145.69684284524286,VER
10,255.11088623455444,255.7642619986543,HUL
11,286.1696521713598,289.3744029592057,HUL
12,296.04314179859824,291.3161320402134,VER
13,282.887447565974,279.59087985955335,VER
14,298.1290599952278,301.4414625995043,HUL
15,294.9832506907982,298.2342285673219,HUL
16,256.1231590871111,234.47044929305866,VER
17,240.67932612170512,221.87015265436403,VER
18,285.5513623265806,290.07923551029273,HUL
19,305.1211111111111,321.37635932136135,HUL
20,306.28666663860906,328.00025117218985,HUL
21,225.6102092267148,223.88629237779654,VER
22,259.63921641042276,252.31260127575973,VER
23,141.69023472508692,139.07202655847763,VER
24,224.71001448510123,223.50208145950438,VER
25,,259.46025302246267,HUL
