Minisector,LEC,RUS,Fastest
0,288.80079210574314,294.6940392514286,RUS
1,295.7511004025895,305.07986812517004,RUS
2,164.69012849662337,154.46796312756683,LEC
3,220.61453721125346,224.61853637460317,RUS
4,272.66165118239894,276.6893236395568,RUS
5,294.15437064400487,302.1687733233333,RUS
6,300.16873026750585,312.0977274181818,RUS
7,176.12526755714026,154.70710641754684,LEC
8,125.73377217442246,132.7189680643341,RUS
9,248.30130327953214,253.30028065344536,RUS
10,284.5406984,287.30313506807016,RUS
11,296.64225015945567,291.4859408523636,LEC
12,150.49974845454207,135.92037277492062,LEC
13,197.40744974585215,196.6798367485074,LEC
14,256.8330511280423,249.58630885826332,LEC
15,202.8442568772136,200.38855475776904,LEC
16,225.38710218182916,220.71960722285718,LEC
17,220.3537469109226,211.41201024504846,LEC
18,248.27340566336616,241.47280082520723,LEC
19,280.3093045688889,272.553517658836,LEC
20,296.82042132374704,287.9802118969697,LEC
21,270.12086906236766,259.22114977929664,LEC
22,231.97823689650795,222.79272144048716,LEC
23,208.28080918511506,204.0044875312409,LEC
24,265.23850468350787,258.66156635789474,LEC
