Minisector,NOR,PIA,Fastest
0,249.36069129225442,249.05210212539683,NOR
1,284.1860209253333,286.07987560495246,PIA
2,158.75548451663593,174.8844778335835,PIA
3,170.0749862029426,154.72468662907693,NOR
4,257.49087904447066,256.6522986692678,NOR
5,265.4170667444976,273.50561045391055,PIA
6,235.1989538881119,252.92196768152021,PIA
7,207.5551718727104,209.71742437753508,PIA
8,163.213173869325,160.45492155820972,NOR
9,221.05940045113255,215.18879774856097,NOR
10,272.17483367915895,273.005092470155,PIA
11,130.47539843823537,129.07593380290177,NOR
12,216.93100083065661,209.93396184089877,NOR
13,275.87538988549846,275.7204537245001,NOR
14,298.88293145333336,295.8032547478261,NOR
15,308.4552631578947,304.3211273820609,NOR
16,247.18691331200134,254.88377876054116,PIA
17,130.45736889063338,124.3463985205535,NOR
18,131.0572226082526,125.48114967811736,NOR
19,122.7413453426708,112.48747193463126,NOR
20,221.5910517934118,226.68748149903175,PIA
21,248.4787757484737,261.3807014549956,PIA
22,245.51051887542857,251.84960843102792,PIA
23,222.76179913035114,218.6329291214065,NOR
24,135.49343724937188,133.41832668716899,NOR
25,216.0888888888889,216.53038206162663,PIA
