Minisector,ANT,OCO,Fastest
0,283.9924274007686,279.79323329260967,ANT
1,122.24907746695685,117.35853961510443,ANT
2,157.56203869497736,159.44539372038142,OCO
3,219.0728725093333,215.09749281160998,ANT
4,167.3800801232741,162.35092806857145,ANT
5,240.08472581710714,243.74959353769827,OCO
6,213.11611333714288,224.29528316331977,OCO
7,132.61180619948988,130.67139602491633,ANT
8,230.10698477809942,232.85673111286835,OCO
9,276.9987569340056,274.883349284411,ANT
10,286.0966758050909,287.2552549049869,OCO
11,157.2218496287064,161.35123680347496,OCO
12,216.57969825972873,211.5714824869643,ANT
13,268.9206947294094,266.166041872,ANT
14,278.4180141150039,277.36914700529104,ANT
15,102.22650515429528,101.55048759687523,ANT
16,211.53281861642515,209.71385164604607,ANT
17,270.7864854934115,265.4562253552791,ANT
18,294.33177798162967,288.970449296732,ANT
19,306.59937809608465,300.3875719442482,ANT
20,312.6723888872331,306.03819442962964,ANT
21,308.50475988625186,300.61837532862745,ANT
22,151.90993122555315,178.9853802093181,OCO
23,235.5195889870377,214.75302611216932,ANT
24,276.00979854285714,267.9843550916813,ANT
25,287.2977268363636,284.4734376,ANT
