Minisector,RUS,ALB,Fastest
0,261.3494180942203,258.1740246414492,RUS
1,134.22331234128586,133.9320509912945,RUS
2,267.45982472135864,268.00521750747447,ALB
3,309.35808660540954,309.5171683911022,ALB
4,310.6730780369358,307.8742237578159,RUS
5,321.3169882132996,317.78046665698497,RUS
6,326.42553007721847,322.77253255286195,RUS
7,328.5512137708212,321.0430673467565,RUS
8,204.14865607869336,191.57892983200182,RUS
9,197.39084656568437,207.45350015392572,ALB
10,181.35876273155947,179.49367973589148,RUS
11,167.70494646426397,173.4672816287316,ALB
12,254.61958754481566,260.9779836585249,ALB
13,280.09781174925973,278.20244247628455,RUS
14,284.1654798973698,282.06329826723714,RUS
15,283.9267440344472,259.4032363085714,RUS
16,169.15766934060946,170.8057139114206,ALB
17,195.66273879334022,198.51754191937655,ALB
18,246.33404215288888,247.6044304599365,ALB
19,290.3519803005257,292.1990790709024,ALB
20,312.60589864589775,311.74040230486565,RUS
21,319.7235117661453,317.6453258119658,RUS
22,318.04996997147697,314.541430201514,RUS
23,270.51376695848205,238.00058544169312,RUS
24,116.42936013120958,123.73120899390081,ALB
