Minisector,HAM,HUL,Fastest
0,294.3531891489079,292.1959597286771,HAM
1,207.04297003583358,198.5091798115909,HAM
2,230.92705841112416,221.55987782288997,HAM
3,275.16778266565143,271.6564498069684,HAM
4,230.3906457967113,232.77420586073174,HUL
5,128.3521059352471,122.75950430797089,HAM
6,215.51735263380945,206.46581038153892,HAM
7,260.30233910955945,254.2009144158749,HAM
8,207.97146448577183,205.71017457882826,HAM
9,207.70084494245674,204.55641836633657,HAM
10,265.06037910218254,262.3099589364302,HAM
11,214.49006526116082,212.7194404294106,HAM
12,183.00436221490932,173.38667497512327,HAM
13,261.4317746257148,257.7379334747208,HAM
14,281.2360319194027,280.1222964668408,HAM
15,264.4774304990999,258.99834483712914,HAM
16,247.35442374933837,233.91907016826462,HAM
17,274.9502535996356,269.7903833601012,HAM
18,285.99726450988516,284.4866250412815,HAM
19,180.4853997914001,169.8698176840363,HAM
20,214.06149306278317,210.41430041012958,HAM
21,171.19297318967816,174.8297589756205,HUL
22,145.75895741954264,135.74146748039388,HAM
23,243.90750748956887,234.93455600522654,HAM
24,282.2447900353243,278.7556361321202,HAM
25,,289.76666666666665,HUL
