Minisector,NOR,RUS,Fastest
0,325.9578537876946,326.1882654585034,RUS
1,334.5781973586472,335.38827164444444,RUS
2,338.1851417150113,335.7666019422679,NOR
3,195.12510126690057,204.23484340698786,RUS
4,131.8287081748818,123.8494544139284,NOR
5,267.50074008683845,268.03345716043424,RUS
6,300.5990941473809,302.4793732239506,RUS
7,317.7474267574269,318.605559787013,RUS
8,281.145386344127,281.6154882569697,RUS
9,146.98737126728892,142.67851751890197,NOR
10,229.08348523902643,223.68585057799737,NOR
11,234.78333921168314,229.4572744449484,NOR
12,209.0828739703266,205.5500177240476,NOR
13,273.0878974566397,271.5333799642098,NOR
14,308.33527398299054,306.81562933990057,NOR
15,325.2659672875863,323.0783480304762,NOR
16,269.6460819994111,278.38199939386624,RUS
17,223.24730491199597,217.36914473192653,NOR
18,282.1400654118518,278.9505583435653,NOR
19,312.9223168263045,310.06867034628556,NOR
20,326.17598102405105,325.0715376555293,NOR
21,315.6141597790476,312.9035223751408,NOR
22,215.26225605446493,215.41740624683766,RUS
23,271.38212206279945,266.4095972733471,NOR
24,310.1132922467219,303.89257925801303,NOR
25,,318.87430595555554,RUS
