Minisector,BEA,STR,Fastest
0,303.4945262192714,308.9109821259761,STR
1,201.88619088350126,204.1892292515679,STR
2,146.433942594557,135.21665878567177,BEA
3,220.55092688675052,221.35699445575827,STR
4,160.4486559077692,160.40917217449118,BEA
5,186.95962368877392,178.95554092797295,BEA
6,257.38351853981777,256.376457788606,BEA
7,280.80941554823534,281.9257776924444,STR
8,287.1376301733333,289.98826123051464,STR
9,265.278582506567,267.6821472405512,STR
10,253.2075064051948,251.70929077702743,BEA
11,242.18756432847618,243.4360131371469,STR
12,204.34243547977897,220.23866405763977,STR
13,130.56948925123442,135.8806484566082,STR
14,135.90102026835694,149.52701594025518,STR
15,184.8733384209028,161.60119722093188,BEA
16,256.8750726417927,252.47227590812327,BEA
17,232.5674211149228,254.37251735545573,STR
18,110.70090757863075,111.52024918277974,STR
19,198.69643667046165,184.10861923428766,BEA
20,203.29007066419706,203.43019750116264,STR
21,239.74731211208598,235.6329764662565,BEA
22,271.195637124183,275.474534416732,STR
23,289.92298582044447,301.12421008,STR
24,301.746253583301,319.75650668437044,STR
25,,326.1147720727273,STR
