Minisector,HAM,RUS,Fastest
0,277.7762532628048,278.02680203290043,RUS
1,296.1348467898763,295.19748503279527,HAM
2,291.3437072663953,289.3108656278021,HAM
3,179.06655783297967,174.3019174037694,HAM
4,216.8692811647226,206.4442903156727,HAM
5,201.3732195030204,188.98697073114337,HAM
6,182.71961784407162,168.8527140992386,HAM
7,201.26196694167012,195.52300764767458,HAM
8,254.47407585525036,246.59507312306985,HAM
9,262.70757712459516,258.72080673165465,HAM
10,167.3267278392579,169.24111936296566,RUS
11,233.05582779249593,227.34550181802084,HAM
12,106.69061455547701,108.64519654915816,RUS
13,219.97107384376957,210.3357513527674,HAM
14,274.0201712864706,270.2987221936041,HAM
15,289.09513762375957,287.46064665530696,HAM
16,209.3890751068907,210.3470544921147,RUS
17,182.27511186077726,178.65589275402758,HAM
18,262.5144729631585,263.3566162733993,RUS
19,289.2424387724387,288.7637386856189,HAM
20,299.8074736492764,300.46211650074076,RUS
21,300.67836155026527,296.9693203953243,HAM
22,264.33040601904764,255.69612054896723,HAM
23,116.2368019417365,114.35943058905205,HAM
24,236.43841462086712,231.34041766672615,HAM
