Minisector,PIA,HAM,Fastest
0,304.88092105006103,291.10609580649196,PIA
1,322.34406757079364,305.9098957714286,PIA
2,329.3374448536961,311.1852525252525,PIA
3,332.43945723928766,310.62517371555555,PIA
4,196.08132439844798,189.47501747916772,PIA
5,216.04113768549686,214.08411698082537,PIA
6,268.09604215111113,268.56508810989897,HAM
7,259.9543765481349,265.04564369045556,HAM
8,189.5835166278458,184.80411287430098,PIA
9,147.26510787098414,139.429291009774,PIA
10,174.4368732520458,178.5697014065745,HAM
11,256.54086216274567,259.2480906808163,HAM
12,249.22007236155844,247.39659459378882,PIA
13,222.65475762680776,230.55162114272116,HAM
14,265.82318751466664,267.6093518222222,HAM
15,163.353916700778,168.38819231130117,HAM
16,217.19150037145482,221.78711080675555,HAM
17,237.31089616195786,233.21623012994417,PIA
18,133.8661126223939,130.83497996591854,PIA
19,237.7842743073716,239.15088981590816,HAM
20,279.35449135771427,279.3998187037681,HAM
21,242.25271039152418,238.8091494434376,PIA
22,139.38221246625233,137.7226947569524,PIA
23,208.64076304390406,211.3950816519634,HAM
24,273.33614094484943,269.7142231453543,PIA
25,284.48333226666665,,PIA
