Minisector,LEC,VET,Fastest
0,290.30450519443224,286.920921064149,LEC
1,303.26075438209944,297.36136360044895,LEC
2,308.0210689015873,303.1212745254902,LEC
3,309.56250011428574,303.5928618105263,LEC
4,194.24830949155273,186.65672332095238,LEC
5,214.5070960153375,206.99047375582916,LEC
6,267.0121478673106,261.9147673759637,LEC
7,269.5111420266667,267.5310841029661,LEC
8,190.9525596656171,186.31216763002269,LEC
9,157.21751970170655,152.6998573093018,LEC
10,187.23513037453745,174.4130189684769,LEC
11,257.5514678200963,253.08948313937822,LEC
12,251.2010422636774,246.06240344935065,LEC
13,233.70551380897962,216.11995699058167,LEC
14,273.61814990334756,263.71288165002073,LEC
15,174.87139272507235,171.45505761494874,LEC
16,220.0316489328363,211.41367205134574,LEC
17,245.10336942452014,240.8202469324741,LEC
18,137.5647426200916,129.02409386283756,LEC
19,237.8271492608432,231.88323448418492,LEC
20,273.8413339697479,274.05766290418745,VET
21,247.6112339014493,243.88560961619606,LEC
22,142.81113237324394,137.79811574832314,LEC
23,212.9879819468697,193.79528955394224,LEC
24,268.9675871059879,261.60196578982493,LEC
25,,278.6066480540819,VET
