Minisector,GIO,NOR,Fastest
0,298.9727167285245,300.60758380811285,NOR
1,238.57732069767937,235.44877396083268,GIO
2,133.01519886937263,132.2508369793254,GIO
3,238.93997320504056,239.2851559,NOR
4,184.87389545124992,189.43235484588718,NOR
5,242.06515174141413,246.47623794087517,NOR
6,228.18123064494853,232.75791786157885,NOR
7,252.696925871746,259.55215308231215,NOR
8,286.06862880902344,285.5879631407407,GIO
9,210.51619507930036,203.59166298326576,GIO
10,203.80069104412271,206.5891422764479,NOR
11,270.6021265959184,271.5798047551648,NOR
12,210.65986697543858,210.2347605912934,GIO
13,245.80809264172044,252.4464167918273,NOR
14,284.32571037069596,292.34273832929034,NOR
15,298.0414001610751,303.70016674133336,NOR
16,302.81683327999997,298.2155442871795,GIO
17,230.10842541846864,231.96784520523994,NOR
18,261.6747232355555,273.71408106666667,NOR
19,289.6170789754846,298.75695049551973,NOR
20,301.98266696533335,302.83150176117215,NOR
21,304.17037262096676,292.0966023173626,GIO
22,155.09229568914287,150.85352471794872,GIO
23,231.69010187814536,244.4389797800307,NOR
24,284.413533215092,288.96631900620304,NOR
25,296.0,,GIO
