Minisector,VER,BOT,Fastest
0,278.07342382423815,272.47113383628346,VER
1,293.40517076047706,289.5086025572501,VER
2,288.50716644977774,286.65780673867295,VER
3,185.2457295858079,188.00004671726384,BOT
4,128.48371273105846,126.31801453503714,VER
5,241.83968613604995,235.3353871788274,VER
6,284.1154711586092,281.0929320378974,VER
7,287.7578516923077,293.8378767573548,BOT
8,169.2818773561483,178.26941869057117,BOT
9,144.8044052565779,143.62240492355045,VER
10,253.2952613095546,250.30599936064021,VER
11,284.771000192,284.7500638192727,VER
12,294.6134999893333,294.27599991466667,VER
13,288.019283606613,280.18335538342154,VER
14,299.8918404444444,295.75703532645235,VER
15,298.58802062222225,298.8029086312837,BOT
16,258.8636277280788,261.40085000044456,BOT
17,234.4218825496774,228.782257766895,VER
18,285.2332537333333,281.2247134249639,VER
19,303.2615942956522,301.566166784,VER
20,300.6478330026667,307.2941174089066,BOT
21,232.83640919040232,239.40138801777778,BOT
22,260.50854631292515,260.06143120084374,VER
23,142.76350124965356,136.72132064083593,VER
24,217.02543983857603,217.79230588758986,BOT
