Minisector,GAS,PER,Fastest
0,294.7827147511062,291.79608396642215,GAS
1,302.518541592381,299.1812919744538,GAS
2,224.16433979048756,217.97603740661728,GAS
3,135.05256589511214,140.47478535483629,PER
4,216.25035410330412,219.3241519052237,PER
5,165.30483578770662,161.76317054256694,GAS
6,169.48833990587147,169.2035304816357,GAS
7,248.18467959123808,252.33748954138647,PER
8,278.13452337665444,277.53760565122445,GAS
9,287.38153989967844,285.31812507123806,GAS
10,258.0165205866667,275.8085478577857,PER
11,238.45133271640603,243.56923076923078,PER
12,241.6194122011191,244.13633871390476,PER
13,212.79978721220198,215.3898460777022,PER
14,132.40469407592852,131.66743083455503,GAS
15,138.80090129260068,143.1311554399428,PER
16,167.73786661478456,170.97014448956133,PER
17,252.91037611669435,242.54541687810124,GAS
18,254.85227143728176,236.6835086677376,GAS
19,115.68286487840494,113.45713356374958,GAS
20,187.43585004036618,190.08799038308848,PER
21,195.1984404670602,198.98785884381826,PER
22,232.59580265758734,231.81033807788452,GAS
23,269.4358116658462,261.4402628778625,GAS
24,293.0837446596248,279.84358473724114,GAS
