Minisector,RUS,ZHO,Fastest
0,272.67529010766486,274.41245694342524,ZHO
1,126.14737439396015,112.32535023456151,RUS
2,154.24439088696144,158.44252981202598,ZHO
3,213.75161158767506,208.09349394086877,RUS
4,161.76925205918175,160.45219217982304,RUS
5,237.26009508398474,238.98328765409155,ZHO
6,216.35754374407958,192.5174454315287,RUS
7,133.58999688338832,135.40587002422944,ZHO
8,227.43218473052613,236.5110079448471,ZHO
9,267.92465180921886,278.9498378975123,ZHO
10,271.89872256962406,275.651309125337,ZHO
11,146.51573581280454,138.51006884314074,RUS
12,215.45655460193623,218.7679910515439,ZHO
13,262.07068249200046,265.0398284304762,ZHO
14,249.48224095999998,243.33461314486215,RUS
15,100.00053924350522,103.34847781087663,ZHO
16,217.02567462466743,221.3012027204301,ZHO
17,264.1532118632869,273.85488478704355,ZHO
18,286.71536685950736,303.27900412417785,ZHO
19,297.20960233965593,318.9426067358193,ZHO
20,304.1276353502075,329.50707177142857,ZHO
21,287.44720502235305,274.7597737714927,RUS
22,149.98030623806898,146.10411080574923,RUS
23,231.85918757239764,238.9043552605107,ZHO
24,272.3194382596752,285.060077798934,ZHO
