Minisector,PIA,RUS,Fastest
0,289.8327501019806,298.9960631541935,RUS
1,155.0319817153803,151.975642219457,PIA
2,148.3617020956362,148.89403596463887,RUS
3,229.31218162511465,231.04923167463463,RUS
4,287.14754173598845,287.79384399627924,RUS
5,285.70882322351963,291.6414963309421,RUS
6,136.89435485969713,138.6952646061343,RUS
7,139.00432899523335,137.17001312063664,PIA
8,135.0441831265874,131.5904682374677,PIA
9,193.33152022327207,187.0855327733858,PIA
10,132.11571302381677,130.81364713320585,PIA
11,124.1134249235235,120.83129843417207,PIA
12,162.35346762455026,169.68369164595873,RUS
13,267.21387811321995,270.9254502784,RUS
14,284.4721193288676,294.8035240126984,RUS
15,148.74101841638984,143.1791068661177,PIA
16,201.52012717545807,201.5161859808939,PIA
17,165.80847259436314,177.91331008127344,RUS
18,268.0314582006621,271.2969337552166,RUS
19,297.1025296016768,294.72712871884056,PIA
20,311.00730453490826,310.6723028748676,PIA
21,320.03157904360904,319.5335341608081,PIA
22,324.91883579051853,325.0813804818432,RUS
23,326.8562499809524,328.0118054806349,RUS
24,318.95729125155555,326.70770837333333,RUS
25,316.0,,PIA
