Minisector,LEC,HAM,Fastest
0,310.7143501654658,307.35262731178716,LEC
1,248.21199267900954,228.65727425994694,LEC
2,135.02347606176048,130.1516905170507,LEC
3,242.68801216678858,230.90903468978652,LEC
4,190.74874493242908,192.84430255218976,HAM
5,255.2014049043117,247.95444268293738,LEC
6,238.64370680412918,231.73265379450626,LEC
7,252.79901778607407,258.91996362533956,HAM
8,292.6334884647619,293.1837421172684,HAM
9,205.6649025423043,197.89293121894403,LEC
10,199.07276312400626,212.43835177669723,HAM
11,277.3375324491228,276.46474640422434,LEC
12,213.54030233357696,206.84350708921605,LEC
13,243.89049728764883,251.51978775477053,HAM
14,293.0176662913179,294.68200286494226,HAM
15,310.15740726857143,311.1109364311111,HAM
16,312.99261628652255,310.2464552239265,LEC
17,210.29661879542857,207.04783257607582,LEC
18,261.06408881803776,264.76476635473193,HAM
19,298.22967223026455,297.12024286989083,LEC
20,313.6177897112419,313.88182654885935,HAM
21,316.1183959118367,313.2633332297143,LEC
22,146.0466591834001,143.45876117661464,LEC
23,228.24960557606485,234.57960703030813,HAM
24,289.22032166577776,289.81398853194804,HAM
