Minisector,PER,KVY,Fastest
0,262.5988567749413,254.74734110984127,PER
1,129.76728897163713,137.0290398912852,KVY
2,261.97198315402295,265.13593138798973,KVY
3,310.2032612972448,309.2301090603175,PER
4,311.56887402539684,307.48578066224974,PER
5,321.63308721914,314.00431155942033,PER
6,336.0154762467909,318.7947917015873,PER
7,342.2540953757006,317.7578415900621,PER
8,203.50408121081082,207.24403858320136,KVY
9,187.77072718124063,193.62330440256156,KVY
10,185.93418451872245,193.6471912947497,KVY
11,158.0698599332415,161.7265275876369,KVY
12,243.6354977809811,239.914971136279,PER
13,275.6376413442523,270.6362648888889,PER
14,273.07920185176107,271.55603915514115,PER
15,275.10372511604936,274.75808377767765,PER
16,182.35242867733606,185.76106509466828,KVY
17,188.73475521417578,195.0225981896316,KVY
18,233.8895005455567,236.058118066446,KVY
19,283.11423787748294,286.6504811897436,KVY
20,306.89031181392915,309.6397409355852,KVY
21,315.44927540869566,318.9996377242236,KVY
22,310.92078366349205,317.67490757639496,KVY
23,256.47449949896094,276.35857942125165,KVY
24,115.95551111066032,111.22661111236177,PER
25,,228.99245785396826,KVY
