Minisector,SAI,STR,Fastest
0,277.24016785066664,289.4317739342443,STR
1,160.08070407445166,156.53977192260584,SAI
2,151.4397550800501,150.5271768,SAI
3,232.66018389559085,226.59328814992267,SAI
4,284.3249064825487,284.9747701842607,STR
5,275.81124640277056,286.5326069068323,STR
6,143.5235195572802,143.30192345855784,SAI
7,141.4123427891681,139.93132988051948,SAI
8,141.98669091792712,148.17254594896937,STR
9,194.6097958342381,179.90834776538512,SAI
10,126.71525281562263,133.92715523031734,STR
11,120.91412955156588,124.73395135336402,STR
12,176.92138423576415,159.42486198388278,SAI
13,269.41497985396825,263.3907340123336,SAI
14,282.8107141962733,286.55052075555557,STR
15,145.75178569070295,153.54303170824622,STR
16,207.79680314715793,210.47136807481468,STR
17,179.650434997987,166.60414181809708,SAI
18,274.4817210984127,269.31770737777777,SAI
19,294.3160319699427,293.9937498181818,SAI
20,305.46483123809526,307.68439703238096,STR
21,311.94711199816993,316.48194438095237,STR
22,314.07791664,319.5574560561404,STR
23,316.05375002666665,321.02291658666667,STR
24,314.6733333333333,319.59642864761906,STR
25,310.0,315.1333333333333,STR
