Minisector,SAI,STR,Fastest
0,317.7257647455782,319.2011054367347,STR
1,155.76967094573644,161.20456233650793,STR
2,160.10344959332494,195.13738393547197,STR
3,202.8489660837561,158.79454204288572,SAI
4,283.2494313606625,277.56340660869563,SAI
5,297.228976630303,307.40703466589974,STR
6,145.99496702460945,158.52934346542588,STR
7,137.2708785569224,133.9758701686174,SAI
8,161.82672261351695,191.30989355763654,STR
9,154.31882848006708,124.79430756158976,SAI
10,137.50740664091353,167.1440372987101,STR
11,132.01188607820646,130.87178584419095,SAI
12,143.26581430909093,121.50683966181995,SAI
13,259.00272817330455,250.51786727909527,SAI
14,283.7108915701791,284.8498626696752,STR
15,155.77239629863325,197.03142942431268,STR
16,206.35337302237727,169.07199422347284,SAI
17,156.12439546447598,150.88765062222222,SAI
18,261.8988301805721,247.15011959688897,SAI
19,290.348032920911,292.0552678860863,STR
20,301.6278829496897,305.3535413866667,STR
21,311.5904760888889,320.15595215238096,STR
22,316.6724999466667,328.0293669833693,STR
23,321.14791233411086,340.20416639999996,STR
24,316.70978281739133,339.05187643405907,STR
