Minisector,NOR,RIC,Fastest
0,287.1588544,288.75338387473295,RIC
1,293.7946198603341,295.72028985507245,RIC
2,278.6715267555556,284.6319938285714,RIC
3,113.71566823148886,113.23746035011776,NOR
4,223.42107927407358,221.3051087462287,NOR
5,274.4744219926114,275.35437829828294,RIC
6,227.17730402264607,220.51639624946236,NOR
7,159.48839747471297,157.17986583092755,NOR
8,215.21466104825902,209.25493087045228,NOR
9,225.20632224367816,215.33669388387096,NOR
10,121.07251434368874,118.79903011851117,NOR
11,230.0786674499376,230.16240769556103,RIC
12,126.33872175693166,125.69208814286976,NOR
13,222.42571931954024,226.268535245977,RIC
14,277.8570722806277,279.4918733463548,RIC
15,228.58999886222222,223.4825778285714,NOR
16,187.92338442308463,189.8206337113676,RIC
17,243.87469103633157,246.95401220740743,RIC
18,208.6702961795491,205.42753949415805,NOR
19,175.81927093664538,176.7421057122807,RIC
20,262.77578980845425,262.9164670748079,RIC
21,283.78271206294,285.18985497971016,RIC
22,182.39960086693455,175.1856036956403,NOR
23,211.03477540917845,216.65117566369764,RIC
24,269.1346993980332,271.729483740136,RIC
25,281.7625002666667,,NOR
