Minisector,VER,SAI,Fastest
0,313.5577490863079,294.41036852002986,VER
1,255.28633198933335,246.90254281180702,VER
2,198.15013656046753,205.09072199389416,SAI
3,263.0976601041115,270.06345752492876,SAI
4,234.48220952870497,229.00618999787312,VER
5,120.77449182904161,117.84460627820333,VER
6,183.8136520549625,181.18473770963521,VER
7,257.2721073967628,259.28655635489037,SAI
8,284.5474304985713,288.77787312217316,SAI
9,297.8155676433048,301.12980504588074,SAI
10,300.6985484806829,302.1361379404734,SAI
11,232.31333097540556,215.03904490150978,VER
12,146.6417715994759,148.73112827381746,SAI
13,254.6084337237695,259.23578507492124,SAI
14,286.4720490433461,289.28448848384755,SAI
15,298.51361496962807,299.16515151515154,SAI
16,292.9768913285145,297.30112936703307,SAI
17,271.2678657043259,260.4002293753222,VER
18,194.89229173976676,193.74772641669702,VER
19,194.457117034701,187.82613802902446,VER
20,185.85108949501736,188.21892259549318,SAI
21,249.9241637363717,253.04797269182015,SAI
22,131.74502799171148,127.76808404119629,VER
23,195.26488647576087,206.63197142119765,SAI
24,275.61108873673635,277.64636824882376,SAI
