Minisector,PER,HUL,Fastest
0,297.4343625535353,313.1845405401212,HUL
1,217.220113400685,210.6330800558422,PER
2,230.59439611989023,228.55476177191696,PER
3,276.53748987716307,283.3524326431746,HUL
4,245.88681989594303,244.00059514702684,PER
5,132.57548787655284,125.55748774761905,PER
6,204.8404853186977,210.34122720013852,HUL
7,256.88269222890267,260.6374270815584,HUL
8,262.27974260016896,250.09482909496597,PER
9,243.90101773253247,239.92832504160367,PER
10,277.36874772206204,278.5029092566082,HUL
11,293.243062344696,295.191996663853,HUL
12,302.5405038059422,310.15741516663104,HUL
13,307.2261140991087,323.39876453426905,HUL
14,307.44779390802137,324.8880554666667,HUL
15,272.7217119745992,252.26479160761906,PER
16,244.8154847352981,240.23438877541508,PER
17,278.84856654545456,283.4681165732756,HUL
18,291.98757171437336,304.77872185926464,HUL
19,157.23970126554192,159.57255290319165,HUL
20,213.8587528707626,206.97307768228572,PER
21,198.76575114099916,182.9052956141323,PER
22,143.45771719852627,139.66546619588578,PER
23,240.9222952992477,238.05249756874838,PER
24,285.33716978624335,293.46389908266667,HUL
25,295.7500003555555,309.45357074285715,HUL
