Minisector,SAI,LAW,Fastest
0,292.4956301047811,291.19891309230854,SAI
1,303.7802046735749,303.08404898812125,SAI
2,307.923499968,304.76095111495295,SAI
3,187.15118556577735,180.72813162639454,SAI
4,208.7900637840191,209.16038150445777,LAW
5,202.267608465691,205.89464272761904,LAW
6,263.5887026078223,265.00703384643396,LAW
7,253.08597974221516,243.6436031085714,SAI
8,211.99679130373627,212.177791001277,LAW
9,210.10486179946187,205.16034696880132,SAI
10,141.49498981626317,146.30605464659521,LAW
11,199.20084669310353,197.13121232066118,SAI
12,184.33113802391168,194.36906337219048,LAW
13,249.28888381809523,252.8800437958948,LAW
14,181.12665398510705,175.857389212778,SAI
15,233.01578426598292,233.63943312018293,LAW
16,280.57425756688053,279.5874190383437,SAI
17,290.6984016578483,290.88245618847117,LAW
18,281.8102639746494,286.758737609697,LAW
19,267.2176533350424,267.7157318759865,LAW
20,269.9453261711977,259.4498333090909,SAI
21,261.91658363195745,263.5348656430853,LAW
22,226.53414009550528,227.46579757149914,LAW
23,214.51310706167743,205.8530202232326,SAI
24,267.9681001088765,269.8930283851852,LAW
25,284.2,,SAI
