Minisector,RUS,PIA,Fastest
0,303.3596076238095,290.51780250482756,RUS
1,151.48999878799566,143.98883626539126,RUS
2,215.39604823318427,232.78372664182197,PIA
3,287.4127030289947,293.00932532486775,PIA
4,317.6817009454682,315.46585942,RUS
5,316.692346486712,313.2140004101422,RUS
6,159.99097724931576,141.09177153631552,RUS
7,124.97367840915223,139.2135779038384,PIA
8,258.4135084497769,261.5982791043028,PIA
9,299.75714679054624,298.85944675878784,RUS
10,298.4210704457143,293.53688489142854,RUS
11,136.60051076852858,130.60773293366017,RUS
12,176.51283707657515,196.57975358430974,PIA
13,246.10367997598073,247.46504612345677,PIA
14,185.01211648326532,181.3056917120636,RUS
15,194.13031202594945,196.312386932198,PIA
16,195.73702794533466,192.85645879584342,RUS
17,231.13929847521644,243.25937104099856,PIA
18,280.3910049901982,282.52083342222227,PIA
19,297.0346538714286,294.722597706611,RUS
20,239.95693201904845,236.54407320083953,RUS
21,200.5576733867886,197.78756315400352,RUS
22,189.79439182368594,198.9096181494599,PIA
23,269.99198008599296,275.5470111395804,PIA
24,310.7395209052281,304.1807716532443,RUS
25,318.1666666666667,,RUS
