Minisector,GAS,SAI,Fastest
0,276.9552913612443,274.3979332969428,GAS
1,294.84404154905206,289.08118280084653,GAS
2,292.6953653576609,284.6467446088596,GAS
3,184.90655426355286,174.37505451029972,GAS
4,130.0918009078397,133.33130566817292,SAI
5,242.3211141451966,247.3411051043947,SAI
6,283.9686136152986,282.55966523485483,GAS
7,289.6458339393939,281.1726200278177,GAS
8,178.05682999060787,177.08361664242446,GAS
9,145.27111280438749,148.89491805421903,SAI
10,255.7707521961409,255.493333699827,GAS
11,286.81778430554107,284.73978229698247,GAS
12,296.86128007213773,287.46857272046174,GAS
13,284.8809027111111,275.55397025840045,GAS
14,300.554035781995,291.959912173341,GAS
15,299.3732405829982,299.05238931555823,GAS
16,251.5766587401419,261.4476767967019,SAI
17,230.78893331155328,242.94403306129092,SAI
18,282.4349233266519,284.5582777443173,SAI
19,303.43010316294874,300.5804449762771,GAS
20,306.1068588348126,303.20571204938005,GAS
21,231.28913719681134,226.89183204074655,GAS
22,261.6985792227791,259.7857976622773,GAS
23,137.70365276124744,135.88516026335355,GAS
24,218.227157926881,228.85625449208922,SAI
