Minisector,BOT,HUL,Fastest
0,291.80781313333335,276.95138717680265,BOT
1,131.38741780194042,119.85767289015276,BOT
2,169.23645725714286,154.0312369454865,BOT
3,224.46043702032722,209.8567225913628,BOT
4,173.83594391247217,159.21917540680275,BOT
5,248.2356474074074,243.95810490049777,BOT
6,209.90156364444445,239.5585453014255,HUL
7,147.6128606710106,132.29533586455028,BOT
8,242.2009915767196,225.86319306666667,BOT
9,279.60212787856415,281.5038229325001,HUL
10,291.3754764088889,294.43545468571426,HUL
11,155.9709458790539,147.49873475191717,BOT
12,226.35702006971707,210.9351424927536,BOT
13,272.83009214814814,269.44659009021774,BOT
14,280.57195038285715,273.515743762963,BOT
15,107.48994881269842,100.81541305505682,BOT
16,221.0779806273685,209.48736317922078,BOT
17,268.8629623703703,265.0951162190274,BOT
18,290.41838836265435,298.4624991390476,HUL
19,300.1167145397361,314.86666624000003,HUL
20,305.4899998577778,324.3988092952381,HUL
21,298.0418231239695,299.06525693333333,HUL
22,164.0843325514371,149.02715127741936,BOT
23,233.09763419316323,226.55682568002828,BOT
24,276.6917798652159,281.24603066920633,HUL
25,,293.6638890666667,HUL
